Actor,Movies
 Bill Murray,3.0
 Bill Paxton,3.0
 Blake Lively,3.0
 Brie Larson,3.0
 Cameron Diaz,3.0
 Carey Mulligan,3.0
 Charlie Day,3.0
 Charlotte Gainsbourg,3.0
 Chris Pine,3.0
 Christoph Waltz,3.0
 Christopher Plummer,3.0
 Daniel Brühl,3.0
 Dennis Quaid,3.0
 Diego Luna,3.0
 Dominic Cooper,3.0
 Dustin Hoffman,3.0
 Dylan Minnette,3.0
 Ed Harris,3.0
 Edgar Ramírez,3.0
 Elle Fanning,3.0
 Ellen Page,3.0
 Emily Mortimer,3.0
 Eva Green,3.0
 Eva Mendes,3.0
 Gugu Mbatha-Raw,3.0
 Guy Pearce,3.0
 Irrfan Khan,3.0
 Jack Huston,3.0
 Jacob Tremblay,3.0
 Jai Courtney,3.0
 James Badge Dale,3.0
 James Marsden,3.0
 Jason Clarke,3.0
 Jennifer Lawrence,3.0
 Jet Li,3.0
 Jim Sturgess,3.0
 Joan Allen,3.0
 John Leguizamo,3.0
 Jon Hamm,3.0
 Joseph Gordon-Levitt,3.0
 Julia Roberts,3.0
 Julianne Moore,3.0
 Justin Timberlake,3.0
 Kathryn Hahn,3.0
 Ken Watanabe,3.0
 Keri Russell,3.0
 Kevin Hart,3.0
 Kevin Spacey,3.0
 Kiefer Sutherland,3.0
 Kirsten Dunst,3.0
 Laura Linney,3.0
 Liv Tyler,3.0
 Luke Bracey,3.0
 Maggie Grace,3.0
 Maria Bello,3.0
 Mary Elizabeth Winstead,3.0
 Matt Damon,3.0
 Michael Keaton,3.0
 Michael Sheen,3.0
 Michelle Williams,3.0
 Naomi Watts,3.0
 Nicholas Hoult,3.0
 Nick Frost,3.0
 Nicole Kidman,3.0
 Nikolaj Coster-Waldau,3.0
 Noomi Rapace,3.0
 Olga Kurylenko,3.0
 Patrick Wilson,3.0
 Paul Rudd,3.0
 Philip Seymour Hoffman,3.0
 Pierce Brosnan,3.0
 Rebecca Ferguson,3.0
 Richard Armitage,3.0
 Robert Capron,3.0
 Russell Crowe,3.0
 Selena Gomez,3.0
 Seth MacFarlane,3.0
 Shailene Woodley,3.0
 Sigourney Weaver,3.0
 Simon Pegg,3.0
 Terry Crews,3.0
 Tessa Thompson,3.0
 Tom Hiddleston,3.0
 Tommy Lee Jones,3.0
 Will Arnett,3.0
 Xavier Samuel,3.0
 Zac Efron,3.0
 Zachary Quinto,3.0
Aamir Khan,3.0
Aaron Paul,3.0
Alexander Skarsgård,3.0
Cate Blanchett,3.0
Charlize Theron,3.0
Charlotte Gainsbourg,3.0
Chiwetel Ejiofor,3.0
Chloë Grace Moretz,3.0
Chris Pratt,3.0
Dylan O'Brien,3.0
Edward Norton,3.0
Elle Fanning,3.0
Emma Stone,3.0
Gary Oldman,3.0
Geoffrey Rush,3.0
Henry Cavill,3.0
Jack Black,3.0
Jamie Dornan,3.0
Jason Clarke,3.0
Jason Sudeikis,3.0
Jemaine Clement,3.0
Jessica Chastain,3.0
Keira Knightley,3.0
Kurt Russell,3.0
Lily Collins,3.0
Lily James,3.0
Megan Fox,3.0
Melissa McCarthy,3.0
Milla Jovovich,3.0
Nicholas Hoult,3.0
Nicole Kidman,3.0
Owen Wilson,3.0
Patrick Stewart,3.0
Reese Witherspoon,3.0
Rooney Mara,3.0
Ryan Reynolds,3.0
Stellan Skarsgård,3.0
Zach Galifianakis,3.0
Zachary Gordon,3.0
 Aaron Burns,2.0
 Aaron Taylor-Johnson,2.0
 Abigail Breslin,2.0
 Adrian Martinez,2.0
 Adèle Exarchopoulos,2.0
 Alan Alda,2.0
 Alex Pettyfer,2.0
 Ali Larter,2.0
 Alice Braga,2.0
 Alice Eve,2.0
 Andy Serkis,2.0
 Angelina Jolie,2.0
 Anna Faris,2.0
 Annabelle Wallis,2.0
 Ansel Elgort,2.0
 Anya Taylor-Joy,2.0
 Aoi Yuki,2.0
 Art Parkinson,2.0
 Asa Butterfield,2.0
 Aubrey Plaza,2.0
 Audrey Tautou,2.0
 Barkhad Abdi,2.0
 Barry Ward,2.0
 Ben Whishaw,2.0
 Benedict Cumberbatch,2.0
 Billy Bob Thornton,2.0
 Billy Crudup,2.0
 Blythe Danner,2.0
 Bob Balaban,2.0
 Brooklyn Decker,2.0
 Bruce Greenwood,2.0
 Bruce Willis,2.0
 Cam Gigandet,2.0
 Carla Gugino,2.0
 Catherine Keener,2.0
 Charlie Hunnam,2.0
 Chris Rock,2.0
 Christian Bale,2.0
 Christina Hendricks,2.0
 Christopher Mintz-Plasse,2.0
